휴게소명,도로노선번호,도로노선명,도로노선방향,latitude,longitude,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,약국유무,휴게소대표음식명,휴게소전화번호,데이터기준일자
강릉(강릉),50,영동선,상행,37.758206,128.806648,일반휴게소,0:00,23:59,85218,252,N,Y,Y,Y,N,,033-648-8850,2021-08-09
강릉(인천),50,영동선,하행,37.760275,128.8053601,일반휴게소,0:00,23:59,71026,279,N,Y,Y,Y,N,,033-647-9970,2021-08-09
강천산(광주),12,광주대구선,하행,35.3657501,127.105451,일반휴게소,0:00,23:59,17767,63,N,Y,N,Y,N,,063-653-4033,2021-08-09
강천산(대구),12,광주대구선,상행,35.364369,127.104757,간이휴게소,0:00,23:59,12365,56,N,Y,N,Y,N,,063-653-3050,2021-08-09
거창(광주),12,광주대구선,하행,35.708862,128.057962,일반휴게소,0:00,23:59,56462,110,N,Y,Y,Y,N,,055-943-0992,2021-08-09
거창(대구),12,광주대구선,상행,35.706469,128.056945,일반휴게소,0:00,23:59,56462,86,N,Y,N,Y,N,,055-943-9534,2021-08-09
건천(부산),1,경부선,하행,35.830716,129.1093101,간이휴게소,0:00,23:59,13041,146,N,Y,N,Y,N,,054-751-6890,2021-08-09
건천(서울),1,경부선,상행,35.831894,129.109244,일반휴게소,0:00,23:59,23174,124,N,Y,N,Y,N,,054-751-7401,2021-08-09
경산(서울),1,경부선,상행,35.879323,128.810331,일반휴게소,0:00,23:59,40171,215,Y,Y,Y,Y,N,,053-852-5243,2021-08-09
경주(부산),1,경부선,하행,35.724761,129.1929501,화물차휴게소,0:00,23:59,72848,290,Y,Y,Y,Y,N,,054-748-3195,2021-08-09
고성공룡나라(대전),35,대전통영선,상행,35.056665,128.252359,일반휴게소,0:00,23:59,50422,160,N,Y,Y,Y,N,,055-674-0494,2021-08-09
고성공룡나라(통영),35,대전통영선,하행,35.0518101,128.262763,화물차휴게소,0:00,23:59,42488,187,N,Y,Y,Y,N,,055-674-7028,2021-08-09
고창고인돌(목포),15,서해안선,하행,35.468653,126.673871,일반휴게소,0:00,23:59,52451,294,Y,Y,Y,Y,N,,063-561-6313,2021-08-09
고창고인돌(서울),15,서해안선,상행,35.4620701,126.673477,일반휴게소,0:00,23:59,114191,261,N,Y,Y,Y,N,,063-561-6323,2021-08-09
곡성(순천),25,호남선,하행,35.258498,127.150737,일반휴게소,0:00,23:59,16137,54,N,Y,Y,Y,N,,061-363-2766,2021-08-09
곡성(천안),25,호남선,상행,35.259632,127.152741,일반휴게소,0:00,23:59,24680,118,N,Y,Y,Y,N,,061-362-8300,2021-08-09
공주(당진),30,당진영덕선,하행,36.498679,127.164921,일반휴게소,0:00,23:59,52144,178,N,Y,Y,Y,N,,041-854-0050,2021-08-09
